Fyour,Kund,Marknad,Kunds domän,Kategori,Budget,Snitt,Kommentar,Contentriktlinjer ,Status,Ansvarig,TargetURL,Keyword,Dashboard,Korrekturkrav,
22,Fair Investments,SE,fairinvestments.se,Premium,"52,500.00 kr",,"Skjut ner SSG, behöver fokusera mer på det kommande månader",,Active,Sandahl,,,,FALSE,
23,Flax Casino,SE,flaxcasino.se,Premium,"€4,000.00",,"Prioritera dyrare och färre sajter, sponsored är ok",,Active,Sandahl,sökordsutdrag från ahrefs,,,FALSE,
24,Hajper.com,SE,hajper.com/sv,Premium,"30,000.00 kr",,"Alltid en från Stampen
Index (får kör /sports vid relevans)
Alltid casinofokus i artiklar
Fokus på main phrase keyword med relaterade sökord
Redaktionella domäner

Lägger vi extra fokus på content & Jacob är kontaktperson",Fler än 1 trustlink per artikel (2–3 st),Active,Jacob,,,https://lookerstudio.google.com/reporting/d716f543-0246-4c27-ac12-2d9de13d8d98,TRUE,
25,Vardagsfrid,SE,vardagsfrid.se,Premium,"20,000.00 kr",,,,Canceled,,,,,,
26,Happy Casino,SE,happycasino.se,Premium,"€4,000.00",,"Prioritera dyrare och färre sajter, sponsored är ok",,Active,Sandahl,sökordsutdrag från ahrefs,,,FALSE,
27,Himala.ai,US,Himala.ai,Premium,"€3,000.00",,DR  i dashboarden & fousera på länkar med hög DR,,Active,Jacob,,,,FALSE,
28,Jakt.se,SE,jakt.se,"Bulk, Premium","16,000.00 kr",,,,Active,Sandahl,"1. hund.se/koppel-selar-och-halsband
2. hund.se/hundgodis 
3. hund.se/leksaker-1   
4. https://www.hund.se/v%C3%A4rmet%C3%A4cke","1. hundkoppel, hundsele, hundhalsband
2. hundgodis
3, hundleksaker
4. hundtäcke, värmetäcke hund",,FALSE,
108,Indoorprofessional,SE,https://www.indoorprofessional.se/,Premium,"10,000.00 kr",,Ankare: städfirma stockholm,,Active,,1. https://www.indoorprofessional.se/,1. städfirma stockholm,,FALSE,
30,Kelleher International,US,kelleher-international.com,Premium,"15,000.00 kr",,"Ingen kundkontakt
(Bara USA)",,Active,,"1. https://kelleher-international.com/
2. https://kelleher-international.com/professional-matchmaking-for-men/","1. Kelleher International
2. proffessional matchmaking service",,FALSE,
31,Kleer,SE,kleer.se,Premium,"18,000.00 kr",,lönesystem & ekonomisystem,,Active,Sandahl,"1. https://www.kleer.se/finance-as-a-service/faktureringsprogram/
2. https://www.kleer.se/finance-as-a-service/bokforingsprogram/
3. https://www.kleer.se/lonesystem/","1. faktureringsprogram, skapa faktura, fakturering, fakturahantering, automatiserad fakturahantering, fakturering program
2. bokföringsprogram, gratis bokföringsprogram, automatiserad bokföring,
bokföring online, bokföringsprogram aktiebolag
3. lönesystem, lönebyrå, lönesystem sverige, byta lönesystem",,FALSE,
96,Kungaslottet,SE,kungaslottet.se,Premium,"€3,000.00",,"Fokus på casino, specifikt jackpots – inte poker","Fokus på casino, mer specifikt jackpots
Får inte nämna betting
Får inte nämna poker",Active,,"https://www.kungaslottet.com/sv/mobile/
https://www.kungaslottet.com/sv/mobile/casino/
https://www.kungaslottet.com/sv/mobile/jackpots/
https://www.kungaslottet.com/sv/mobile/live-casino/","casino, casino online, online casino, casino på nätet, casinospel, live casino, live casino med riktiga dealers",,TRUE,
33,KvarnX,FI,kvarnx.se,Premium,"40,000.00 kr",,3 månader fram FOM Juli - Finland,,Active,,"1. https://www.kvarnx.com/bitcoin
2. https://www.kvarnx.com/bitcoin-kurssi
3. https://www.kvarnx.com/kryptovaluutta
","1. btc, biitcoin, sijoita bitcoin
2. bitcoin kurssi, bitcoinin arvo
3. kryptovaluutta, osta kryptovaluuttaa, kryptovaluutat ",,FALSE,
34,Lansfast,SE,lansfast.se,Bulk,"5,000.00 kr",,Mäklare nyköping,,Active,,1. https://www.lansfast.se/maklare/sodermanland/trosa/,1. Mäklare nyköping,,FALSE,
35,Jour Eliten,SE,joureliten.se,Premium,"16,000.00 kr",,,,Canceled,,,,,FALSE,
36,Coface,"SE, DK, NO, FI","Coface.se, coface.no, coface.dk, coface.fi",Premium,"48,000.00 kr",,"Inte nämna varumärke - DR 20+ 100+ i traffik, Justera URL varje månad",,Canceled,,,,,,
37,Cateringfabriken.se,SE,cateringfabriken.se,Premium,"10,000.00 kr",,catering Stockholm,,Canceled,,,,,,
38,Casinogringo,SE,casinogringos.se,Beställning,"70,000.00 kr",,Journalistiskt innehåll,,Canceled,,,,,,
39,Låsjouren,SE,svenskalasjouren.se,Premium,"16,000.00 kr",,Värm upp kunden,,Canceled,,,,,,
40,Rörjour247,SE,rorjour247.se,Premium,"16,000.00 kr",,Värm upp kunden,,Canceled,,,,,,
86,Leaptodigital,US,leaptodigital.com,Premium,"$2,000.00",,roofin crm & brand,,Active,,"1. https://leaptodigital.com
2. https://leaptodigital.com/roofing-crm","1. Leaptodigital
2. Roofing CRM",,FALSE,
42,Leovegas,SE,leovegas.se,"Premium, Beställning",-,,Beställer i eget dokument (Albin ensam ansvarig),,Active,,,,,TRUE,
79,Lilla-Världen,SE,www.lilla-varlden.se,"Premium, Bulk","10,000.00 kr",,"för lilla-varlden.se länkar till startsidan för att stärka DR, sen undersidor och ankare är barnvagn https://www.lilla-varlden.se/collections/barnvagnar
& barnstol https://www.lilla-varlden.se/collections/barnstolar

dessa också : 
Barnvagnar: https://www.lilla-varlden.se/collections/barnvagnar
Barnstolar: https://www.lilla-varlden.se/collections/barnstolar
Babynest: https://www.lilla-varlden.se/collections/babynest
Barnsäkerhet: https://www.lilla-varlden.se/collections/barnsakerhet
Babygym: https://www.lilla-varlden.se/collections/babygym
Babysitter: https://www.lilla-varlden.se/collections/babysitter
Barnsängar: https://www.lilla-varlden.se/collections/barnsang
Gravidkudde: https://www.lilla-varlden.se/collections/gravidkudde
Gravid & Amning: https://www.lilla-varlden.se/collections/gravid-amning",,Active,Matilda,"1. https://www.lilla-varlden.se/collections/barnstolar
2. https://www.lilla-varlden.se/collections/barnvagnar 
3. https://www.lilla-varlden.se/collections/babynest
4. https://www.lilla-varlden.se/collections/barnsakerhet
5. https://www.lilla-varlden.se/collections/babygym
6. https://www.lilla-varlden.se/collections/babysitter
7. https://www.lilla-varlden.se/collections/barnsang
8. https://www.lilla-varlden.se/collections/gravidkudde
9. https://www.lilla-varlden.se/collections/gravid-amning","1. barnstolar
2. barnvagnar
3. babynest
4. Barnsäkerhet
5. babygym
6. babysitter
7. barnsängar
8. gravidkudde
9. Gravid & Amning",,FALSE,
92,LSB,SE,lsb.se,Premium,"105,000.00 kr",,LSB första månaden skjuter vi mot index med ankare brand & lån. Därefter gör vi databedrivet beslut och ser vilka sidor vi kan fokusera mer på,Får inte skriva om lån som ett verktyg för att investera i aktier eller i sitt  eget företag. Inte nämna bolån.,Active,Jacob,,"1. Lån & Spar Bank
2. Privatlån",https://lookerstudio.google.com/reporting/0d9ea3ba-11a3-4b23-abc4-bdd03837af1c,TRUE,
45,Oljedroppen.se,SE,oljedroppen.se,,-,,,,Canceled,,,,,,
46,Lucky Casino,SE,luckycasino.com/sv,Premium,"€4,000.00",,"Prioritera dyrare och färre sajter, sponsored är ok",,Active,Sandahl,sökordsutdrag från ahrefs,,,FALSE,
47,Pontech,SE,pontechmarina.se,Premium,"15,000.00 kr",,,,Canceled,,,,,,
48,Pontonhamnar,SE,pontonhamnar.se,,-,,,,Canceled,,,,,,
49,Snuset,SE,snuset.se,Premium,"22,500.00 kr",,"inget sponsrat, skriver content själva",,Canceled,,,,,,
50,Nettotobak,SE,nettotobak.com ,Premium,"40,000.00 kr",,"INTE SPONSRAT INLÄGG
snus online, billigt snus, snus på nätet, köpa snus etc) är absolut viktigaste för Nettotobak. Därefter följer Velo, Velo snus, XQS, ZYN, Vitt snus, Loop snus.
Inte nämna varumärke. nettotobak.com
nettotobak.com/velo/
nettotobak.com/tobaksfritt-snus/ - SIDA FINNS INTE evt nettotobak.com/all-white-portion/
nettotobak.com/loop/ nettotobak.com/xqs/ nettotobak.com/snus/nikotinfritt-snus/koffein-snus/
nettotobak.com/siberia/
nettotobak.com/zyn/
Ankare: Snus - Index Snus online - index billigt snus - Index",,Canceled,,,,,,
104,Mäklarringen,SE,maklarringen.se,Premium,,,Köper länkar för det vi beställer av dem,,Active,,1. maklarringen.se,1. mäklare i stockholm,,FALSE,
52,Tiger Of Sweden,SE,tigerofsweden.se,Premium,"24,000.00 kr",,herrkostymer,,Active,,,,,,
53,Upplevelse.com,SE,upplevelse.com,Premium,"40,000.00 kr",,Present till pojkvänn är största fokus,,Canceled,,,,,,
98,Megariches,"UK, SE, DK",megariches.com,Premium,"€6,000.00",,"€3000 Sverige, €1000 UK, €2000 DK. Fokus på casino, specifikt ""pay and play"", ""No registration casino"", ""bank id casino"", ""swish casino"", ""trustly casino"" INTE POKER","Får inte nämna poker
Får inte nämna betting
Fokus på casino, specifikt ""pay and play"", ""No registration casino"", ""bank id casino"", ""swish casino"", ""trustly casino""",Active,,"https://www.megariches.com/sv/mobile/
https://www.megariches.com/sv/mobile/casino/
https://www.megariches.com/sv/mobile/live-casino/
https://www.megariches.com/sv/mobile/jackpots/","pay and play casino, no registration casino, bank id casino, swish casino, trustly casino",,TRUE,
55,Svenskafonster,SE,svenskafonster.se,Premium,"45,000.00 kr",,"""svenskafonster.se/
svenskafonster.se/altandorr
svenskafonster.se/skjutdorr
svenskafonster.se/trafonster
svenskafonster.se/aluminiumfonster""",,Canceled,,,,,,
56,Mockfjärds,SE,mockfjards.se,Premium,"50,000.00 kr",,Fokus på fönsterbyten och fönster,,Canceled,,,,,,
57,Petster.se,SE,petster.se,Premium,"18,000.00 kr",,Vill läsa igenom content,,Canceled,,,,,,
58,Ataraxia,SE,ataraxia.se,"Bulk, Premium","5,000.00 kr",,,,Canceled,,,,,,
59,CDG,US,cg.io,Premium,"16,000.00 kr",,,,Canceled,,,,,,
109,Merchoteket,SE,merchoteket.se,Premium,"10,000.00 kr",,"rolig t shirt
meme t shirt
merch
roliga kepsar
roliga t shirt
roliga hoodies
roliga muggar
roliga mössor







",,Active,Sandahl,"1. https://merchoteket.se/collections/t-shirts
2. https://merchoteket.se/
3. https://merchoteket.se/collections/kepsar
4. https://merchoteket.se/collections/hoodies
5. https://merchoteket.se/collections/muggar
6. https://merchoteket.se/collections/mossor-1","1. rolig tshirt, meme t shirt, roliga t shirt
3. merch
4. roliga kepsar
5. roliga hoodies
6. roliga muggar
7. roliga mössor
",,FALSE,
61,MrNicco,SA,mrnicco.com,Premium,"10,000.00 kr",,,,Canceled,,,,,,
62,Nodeposit,US,nodeopsitbonus.cc,Premium,-,,"5000 organic trafic minimum, want to controll read before publishing",,Canceled,,,,,,
63,Michaelofrisorerna,SE,michaelofrisorerna.se,"Bulk, Premium","4,000.00 kr",,Frisör södermalm,,Active,Matilda,1. michaelofrisorerna.se,1. frisör södermalm,,FALSE,
64,Kamux,FI,kamux.fi,Premium,"15,000.00 kr",,CLIENT WANT TO CONTROL READ CONTENT BEFORE PUBLISHING,,Canceled,,,,,,
94,Minifinder,SE,minifinder.se,Premium,"20,000.00 kr",,"Försök få GPS tracker att indexera på deras svenska sida
Hundpejl
Elektronisk körjournal/Digital körjournal/körjournal
Trygghetslarm/Mobilt trygghetslarm
Personlarm",,Active,Matilda,"1. minifinder.se
2. https://minifinder.se/tjanster/kategori/jakt
3. https://minifinder.se/tjanster/kategori/elektronisk-korjournal
4. https://minifinder.se/tjanster/kategori/trygghetslarm","1. GPS tracker
2. Hundpejl
3. Elektronisk körjournal, Digital körjournal, körjournal
4. Trygghetslarm,Mobilt trygghetslarm, personlarm
",,TRUE,
97,MrVegas,"UK, SE",mrvegas.com,Premium,"€8,000.00",,"€7000 Sverige, €1000 UK. Fokus på casino, specifikt jackpots  - inte poker","Fokus på jackpots
Får inte nämna poker
Får inte nämna betting",Active,,"1. https://www.mrvegas.com/sv/casino/
2. https://www.mrvegas.com/sv/jackpots/","Casino
Jackpots, jackpot",,TRUE,
67,Clearfuze,US,cleafuze.com,Premium,,,,,Canceled,,,,,,
68,"Racha Organics, Inc",US,amazon.com/Racha-Organics-Sriracha-Sauce-Certified/dp/B0CYLCC464,Premium,"15,000.00 kr",,Inte betalat faktura på länge,,Canceled,,,,,,
69,MyNicco (US),US,mynicco.com,Premium,"15,000.00 kr",,sänkt budget,,Active,,1. mynicco.com,1. nicotine pouches,,FALSE,
70,Nbi Nordic Beauty Import Oy,FI,godies.fi,Premium,"15,000.00 kr",,,,Canceled,,,,,,
71,Nordic Knots,US,nordicknots.com/us,Premium,"32,500.00 kr",,"https://nordicknots.com/us/curtains/sheer
https://nordicknots.com/us/curtains/light-filtering
https://nordicknots.com/us/curtains/room-darkening
https://nordicknots.com/us/curtains/blackout",,Active,,"1. nordicknots.com/us/rugs
2. nordicknots.com/us/custom-rugs","1. rugs, area rugs, rug
2. custom rugs, custom sized rugs, custom size rugs",https://lookerstudio.google.com/reporting/00eb2aec-81ca-4ccd-b7f0-3b6b26bb373b,TRUE,
113,NorthTracker,SE,https://www.northtracker.com/,Premium,"10,000.00 kr",,,,Active,Jacob,1. https://www.northtracker.com/korjournal/,1. Körjournal,,FALSE,
73,Socialcatfish,US,socialcatfish.com,Beställning,-,,Beställer länkar separat,,Canceled,,,,,,
74,Mobot,US,mobot.com,Premium,"20,000.00 kr",,,,Canceled,,,,,,
116,Podoria,SE,bettingsyndikatet.se,Premium,"25,000.00 kr",,,,Active,Jacob,https://bettingsyndikatet.se/,"brand, betting",,FALSE,
76,Purakliniken,SE,purakliniken.se,Premium,"5,000.00 kr",,Kolla vad länkbudget ligger på,,Active,,1. https://www.purakliniken.se/estetisk-tandvard/skalfasader/,1. skalfasader,,FALSE,
77,Rusta,SE,rusta.se,"Premium, Bulk","40,000.00 kr",,mattor & lampor / belysning,,Active,Matilda,"1. https://www.rusta.com/sv-se/hem-och-inredning/mattor
2. https://www.rusta.com/sv-se/hem-och-inredning/belysning","1. Matta / Mattor
2. Lampa/ Lampor/ Belysning",,FALSE,
78,SvenskIPTV,SE,svenskiptv.com,Beställning,"30,000.00 kr",,,,Canceled,,,,,,
79,Säkra rör AB,SE,sakraror.se,"Premium, Bulk","10,200.00 kr",,,,Active,Matilda,,,,FALSE,
80,Sesec,SE,Sesec.se,"Premium, Bulk","10,000.00 kr",,ordningsvakt,,Active,Sandahl,1. https://sesec.se/ordningsvakter/,1. Ordningsvakt,,FALSE,
81,Glassfactory,"SE, FI",Glassfactory.se,Premium,"22,000.00 kr",,"stor spegel, spegel med belysning, Juli sista månad",,Canceled,,,,,,
82,Spelklubben,SE,spelklubben.se,Premium,"40,000.00 kr",,"Större fokus mot startsidan i framtiden + höja AS

Samtliga länkar ska gå till index.",,Active,Sandahl,,,,FALSE,
83,Tandea (Haninge),SE,tandea.se/kliniker/haninge,Premium,"8,500.00 kr",,,,Canceled,,,,,,
84,Standupsverige,SE,standupsverige.se,Bulk,"5,000.00 kr",,Säljer även länkar på,,Active,,1. https://standupsverige.se/,stand up stockholm,,FALSE,
85,Startmotor,SE,startmotor.se,"Premium, Bulk","19,000.00 kr",,"startbatteri, generator, AGM batteri, bilbatter",,Active,Matilda,"1. https://www.startmotor.se/fordon/reservdelar-bat/volvo-penta
2. https://www.startmotor.se/batterier/bilbatteri
3. https://www.startmotor.se/batterier/agm-batterier
4. https://www.startmotor.se/fordon/reservdelar-bat/yanmar
5. https://www.startmotor.se/batterier/b%C3%A5tbatteri
6. https://www.startmotor.se/kategori/generatorer
7. https://www.startmotor.se/kategori/startmotorer
8. https://www.startmotor.se/startmotorer/startmotordelar/solenoider
9. https://www.startmotor.se/batterier/startbatterier
10. https://www.startmotor.se/kategori/dynastart","1. volvo penta reservdelar
2. bilbatteri
3. AGM batteri
4. yanmar reservdelar
5. båtbatteri
6. generator
7. startmotor
8. solenoid
9. startbatteri
10. dynastarter",,FALSE,
87,Flygbussarna,SE,flygbussarna.se,Premium,"10,000.00 kr",,stockholm till arlanda,,Canceled,,,,,,
88,Bus4You,SE,bus4you.se,Premium,"8,000.00 kr",,göteborg till oslo,,Canceled,,,,,,
89,Ekonomico,SE,ekonomico.se,Premium,"10,000.00 kr",,,,Canceled,,,,,,
89,Sthlm Physique,SE,massagestockholm.se,Bulk,"3,000.00 kr",,"Eget sheet endast bulk, ampillo",,Active,,1. https://massagestockholm.se/,1. Massage Stockholm,,FALSE,
91,Invozio,SE,invozio.com,Premium,"101,200.00 kr",,"Hög budget första 3 månaderna, lägre kommande månader. Foksu på faktura & fakturering samt brand
https://invozio.com/        Fakturera utan företag
https://invozio.com/fakturera-som-privatperson_egenanstalld        Fakturera som privatperson
https://invozio.com/frilans-konsult-lon-fakturera-utan-foretag        Egenanställning
https://invozio.com/att-jobba-som-frilansare-och-fakturera-utan-fskatt        frilansare
https://invozio.com/frilans-frilansarbete        Frilans",,Canceled,,,,,,
107,Stockholm Rör & VVS,SE,https://stockholms-rorvvs.se/,Premium,"7,000.00 kr",,"VVS lidingö
2. Rörmokare Lidingö
3. Värmepump Lidingö
Sedan vilka ord som helst som leder till bergvärme, luft vatten och från luft värmepump i hela norra Stockholm






",,Canceled,Matilda,"1. https://stockholms-rorvvs.se/
2. https://stockholms-rorvvs.se/varmepumpar-pa-lidingo","1. vvs lidingö, rörmokare lidingö
2. värmepump lidingö",,FALSE,
111,Striveon,US,https://joinstriveon.com/,Premium,"32,000.00 kr",,Striveon keywords,,Active,,,,,FALSE,
93,Supernormal,SE,supernormal.health,"Premium, Bulk","10,000.00 kr",,Medicinsk viktnedgång,,Active,Matilda,1. https://supernormal.health/pages/viktnedgang,1. medicinsk viktnedgång,,FALSE,
94,Sweden Longstay,SE,swedenlongstay.se,"Bulk, Premium","5,000.00 kr",,,,Active,,"1. https://swedenlongstay.se/sv/foretagsbostader
2. https://swedenlongstay.se/sv/foretagsbostader/stockholm/","företagsbostäder
företagsbostäder stockholm",,FALSE,
95,Swedoffice,SE,swedoffice.se,"Premium, Bulk","10,000.00 kr",,Pärmar,,Active,Sandahl,"1. https://www.swedoffice.se/kategori/49902-kopieringspapper
2. https://www.swedoffice.se/kategori/69602-gaffelparm-trarygg
3. https://www.swedoffice.se/","1. kopieringspapper
2. pärmar
3. kontorsmaterial",,FALSE,
96,Tandea,SE,tandea.se,Premium,"12,500.00 kr",,"10.000 i budget, fom mars. Ankare & Målsidor finns i SEO-Kunder / Länk",,Active,Matilda,"1. https://www.tandea.se/kliniker/tandlakare-ostermalm/
2. https://www.tandea.se/kliniker/sodermalm/
3. https://www.tandea.se/tandvard/hollywood-smile/
4. https://www.tandea.se/
5. https://www.tandea.se/tandvard/tandblekning/
6. https://www.tandea.se/tandvard/akut-tandvard-stockholm/","1. tandläkare östermalm
2. tandläkare södermalm
3. hollywood smile
4. tandläkare stockholm
5. tandblekning stockholm
6. akut tandläkare stockholm",,FALSE,
97,Tandlakare.se,SE,tandlakare.se,"Premium, Bulk","20,000.00 kr",,"stockholm, malmö, göteborg",,Active,Sandahl,"1. https://www.tandlakare.se/stad/stockholm/
2. https://www.tandlakare.se/stad/malmo/
3. https://www.tandlakare.se/stad/goteborg/","1. Tandläkare stockholm
2. Tandläkare Malmö
3. Tandläkare Göteborg",,FALSE,
99,Zmarta Finland,FI,zmarta.fi,Premium,"30,000.00 kr",,"lainan kilpailuttaminen - Verkar ha lägst competition men högre sökvolylm
https://www.zmarta.fi/ 

laina kilpailutus - annan variant av ovan, lägre sökvolym, mer konkurrens
https://www.zmarta.fi/ 

lainojen kilpailutus - annan variant av ovan 
https://www.zmarta.fi/ 

Lainavertailu - https://www.zmarta.fi/lainaa-rahaa 
lainaa rahaa - https://www.zmarta.fi/lainaa-rahaa - lägre difficulty men vi ligger på botten av sida 2 just nu.
",,Canceled,,,,,,
100,Bokahandyman,SE,flyttgaranti.se,Premium,"11,000.00 kr",,https://flyttgaranti.se/flytt,,Canceled,,,,,,
101,Flyttgaranti,SE,snickare.online,Premium,"11,000.00 kr",,https://snickare.online/snickare,,Canceled,,,,,,
102,Snickare.online,SE,bokahandyman.se,Premium,"10,000.00 kr",,https://bokahandyman.se/handyman/,,Canceled,,,,,,
102,Technobark,US,technobark.com,Premium,"15,000.00 kr",,Får gratis SEO,,Active,,"1. https://technobark.com/best-gps-dog-fences/
2. https://technobark.com/best-dog-gps-trackers/","1. gps dog fence
2. gps dog collar",,FALSE,
103,Technomeow,US,technomeow.com,Premium,,,,,Active,,1. https://technomeow.com/best-self-cleaning-litter-boxes-this-year/,"1. self cleaning litter box, self cleaning cat litter box",,FALSE,
104,Tiotak,SE,tiotak.se,"Premium, Bulk","10,000.00 kr",,,,Active,,"1. https://tiotak.se
2. https://tiotak.se/byta-tak-maskinhall/","1. takläggare
1. byta tak maskinhall",,FALSE,
105,TKW,SE,tkw.se,Bulk,"3,500.00 kr",,,,Active,,1. tkw.se,1. akustikplattor tak,,FALSE,
106,Tryggbil,SE,tryggbil.se,"Bulk, Beställning","10,000.00 kr",,,,Active,,1. https://tryggbil.se/,"1. bilverkstad tyresö, bilverkstad",,FALSE,
105,Turner.fi,FI,Turner.fi,Premium,"25,000.00 kr",,"autotallin nosto-ovi - €600
nosto-ovi - €1,200
Turner.fi front page - €700
(endast Finland)",,Active,,"1. https://turner.fi/autotallin-ovet-ja-oviremontti/nosto-ovet/
2. https://turner.fi/nopea-nosto-ovi/
3. turner.fi","1. autotallin nosto-ovi
2. nosto-ovi
3. Turner.fi",https://lookerstudio.google.com/reporting/eddcac8f-36be-40a8-9126-b1c5592baeeb,FALSE,
95,Videoslots,"SE, UK",videoslots.com/sv,Premium,"€11,000.00",,"Fokus på casino , €10000 Sverige, €1000 UK - inte poker","Får inte nämna poker
Får inte nämna betting
Fokus på casino",Active,,"https://www.videoslots.com/sv/mobile/
https://www.videoslots.com/sv/mobile/casino/
https://www.videoslots.com/sv/mobile/jackpots/
https://www.videoslots.com/sv/mobile/live-casino/","casino, casino online, online casino, casino på nätet, casinospel, live casino, live casino med riktiga dealers",,TRUE,
114,Villasandudden.se,SE,https://villasandudden.se,Premium,"20,000.00 kr",,,,Active,Matilda,"https://sandudden.se/        
https://sandudden.se/kick-off/ ","1. Sandudden
2. kick off stockholm",,FALSE,
112,Violamilano,US,www.violamilano.com,Premium,"15,000.00 kr",,Violamilano - sökord,,Canceled,,,,,FALSE,
